일자,"2013년
15.5 ℃
12.9 톤
PCC -0.543
온도 (℃)","2014년
16.2 ℃
10.8 톤
PCC -0.544
온도 (℃)","2015년
18.5 ℃
18.9 톤
PCC -0.417
온도 (℃)","2016년
16.2 ℃
14.8 톤
PCC -0.559
온도 (℃)","2017년
15.4 ℃
10.5 톤
PCC -0.645
온도 (℃)","2018년
10.9 ℃
14.8 톤
PCC -0.553
온도 (℃)","2019년
15.7 ℃
17.9 톤
PCC -0.661
온도 (℃)","2020년
13.2 ℃
12.8 톤
PCC -0.678
온도 (℃)","2021년
10.9 ℃
11.9 톤
PCC -0.611
온도 (℃)","2022년
8.7 ℃
12.1 톤
PCC -0.594
온도 (℃)","2013년
15.5 ℃
12.9 톤
PCC -0.543
거래물량 (톤)","2014년
16.2 ℃
10.8 톤
PCC -0.544
거래물량 (톤)","2015년
18.5 ℃
18.9 톤
PCC -0.417
거래물량 (톤)","2016년
16.2 ℃
14.8 톤
PCC -0.559
거래물량 (톤)","2017년
15.4 ℃
10.5 톤
PCC -0.645
거래물량 (톤)","2018년
10.9 ℃
14.8 톤
PCC -0.553
거래물량 (톤)","2019년
15.7 ℃
17.9 톤
PCC -0.661
거래물량 (톤)","2020년
13.2 ℃
12.8 톤
PCC -0.678
거래물량 (톤)","2021년
10.9 ℃
11.9 톤
PCC -0.611
거래물량 (톤)","2022년
8.7 ℃
12.1 톤
PCC -0.594
거래물량 (톤)"
20220318,8.3,11.5,12.5,10.65,6.85,8.25,6.95,9.5,9.2,9.8,22.556,24.2295,36.62,48.746,30.71,36.95,31.684,32.249,21.2665,18.0905
20220319,10.9,10.75,12.8,10.75,9.2,10.55,8.15,9.75,11.05,7.4,23.0745,26.7615,18.272,52.682,30.864,30.022,32.515,19.229,20.0175,34.9275
20220320,8.7,8.8,12.9,8.9,8.05,10.05,10,9.2,11.1,5.6,25.0115,27.999,19.3,55.252,28.774,31.864,32.477,18.168,35.6715,36.379
20220321,3.9,5.8,12.55,8.55,6.75,5.35,9.65,10.5,8.4,6.05,25.362,28.407,47.211,47.884,30.339,33.776,31.126,33.285,35.408,35.846
20220322,3.85,5.15,11.1,8.5,6.45,3.8,6.7,12.8,7.25,7.1,24.118,28.566,56.35,50.212,31.358,31.988,30.523,35.11,38.617,34.422
20220323,6.6,7.65,7.45,8.2,7.2,5.25,4.85,11.75,7.95,6.5,23.424,29.823,36.056,48.084,23.146,31.119,30.884,35.23,36.5305,33.334
20220324,6.7,8.7,4.9,7.5,8.75,7.95,4.75,9.1,8.35,7.45,22.906,24.784,38.7,45.463,20.533,32.43,31.366,34.615,38.189,18.5445
20220325,4,10.45,5.1,5.9,8,9.8,5.55,10.35,9.65,11.2,16.504,27.262,42.929,50.8245,24.699,32.752,28.506,35.14,22.8245,16.6635
20220326,4.35,12.9,6.2,5,6.45,9.7,8.3,12.95,11.4,12.2,18.867,29.194,41.7375,57.1435,23.812,31.192,28.866,20.7645,21.2745,31.4535
20220327,7.9,13.45,7.6,5.25,6.65,10.85,10.55,12.3,12.9,9.7,21.454,30.159,39.3995,59.936,25.044,32.37,27.656,21.9855,39.3715,32.999
20220328,9.35,14.25,8.75,6.65,7.55,11.9,11.7,8.9,13.15,7.95,22.063,33.4515,42.533,55.258,24.877,32.622,26.652,40.1425,39.909,31.395
20220329,8.25,14.85,10.35,8.15,7.8,13.7,11.2,7.9,12.6,8.85,23.032,33.415,45.228,56.8925,24.555,31.928,28.642,41.563,36.749,31.4145
20220330,7.3,13.5,12.1,11.35,9.1,14.7,9.25,9.75,12.4,11.6,24.661,31.597,39.08,56.1655,25.697,33.225,30.005,39.412,37.587,30.3125
20220331,7,12.6,12.45,13.8,10.15,14.4,7.15,10.6,12.3,11.75,25.706,28.649,38.566,55.796,27.05,34.957,29.944,36.545,38.8135,15.928
20220401,9.8,13.3,14.5,13.45,9.35,15.05,6,10.2,14.1,9.45,20.786,31.0535,44.752,60.128,27.105,35.624,27.158,35.712,22.698,16.547
20220402,8.05,13.9,16.6,13.5,8.65,15.9,6.95,9.5,16.5,8.3,23.995,31.7875,54.3215,59.959,27.104,36.308,26.103,34.6805,18.788,30.633
20220403,7.9,13.1,14.45,13.75,9.85,16.7,7.1,9.25,16.95,8.6,26.667,30.695,56.1635,57.45,27.066,37.528,25.635,34.4175,34.0075,30.837
20220404,11.35,9.85,12.9,13.9,11.45,15.85,7.05,8.7,13.7,9.9,27.233,32.221,56.521,64.236,28.338,40.974,26.8945,35.587,36.633,31.039
20220405,12.65,7.95,12.9,13.25,12.6,12.95,8.75,7.45,11.15,10.4,27.647,33.537,57.906,70.01,29.572,38.793,27.5635,33.954,39.242,31.097
20220406,10.1,7.8,11.25,12.45,13.85,10.25,11.75,7.85,10.85,10.25,27.11,33.905,47.816,67.75,28.328,31.811,26.604,31.498,38.0985,30.7315
20220407,5.6,8.65,9.45,12.7,13.75,7.1,12.45,6.95,11,10.55,27.262,31.951,51.791,61.335,25.885,29.855,25.648,32.231,35.1705,30.0845
20220408,4.65,10.15,8.95,12.9,13.4,7.4,11.55,7.55,11.35,11.55,20.57,32.747,56.034,60.724,25.718,30.474,28.922,33.198,31.525,30.816
20220409,7,10.7,9.7,15.2,13.8,10.95,11.1,9.6,11.15,13.35,22.907,30.923,55.8715,60.047,26.788,28.216,31.524,32.5295,32.8445,30.935
20220410,5.8,12,11.05,15.25,14.85,13.5,9.1,9.85,11.75,15.25,26.724,28.997,55.1005,61.6,29.4,28.08,33.075,32.6865,35.521,30.099
20220411,5.2,14.1,11.75,14.7,13.95,15.25,8.55,9.05,12.8,17.35,26.754,30.153,57.468,56.652,31.936,29.3615,30.959,34.2295,35.017,26.787
20220412,6.1,15.2,12.6,14.35,12,12.95,9.4,8.15,13.45,18.9,24.387,30.693,60.176,58.185,32.045,30.0235,30.355,34.713,30.889,28.5575
20220413,7.2,14.1,12.55,15.6,11.1,11.5,9.95,8.45,12.15,18.35,25.139,30.771,55.988,58.212,28.102,30.168,31.766,33.216,29.6375,31.4045
20220414,8.75,13.3,10.85,15.85,11.55,11.85,10.1,9.65,9.55,16.55,26.808,26.141,61.137,57.535,26.653,30.519,32.716,31.6615,28.839,18.2935
20220415,9.15,13.7,11.3,15.35,14.95,10.2,10.35,10.8,9.6,14.75,25.211,28.307,59.2155,57.512,28.844,29.97,34.462,30.037,27.7415,16.653
20220416,11.9,14.95,12.55,14.75,17.85,9.65,11.75,11.55,11.15,12.75,26.5365,29.794,51.601,54.472,30.968,30.316,34.103,30.5595,25.7035,30.0865
20220417,15.8,13.6,11.4,13.7,17.15,10.9,13.6,13.05,11.4,11.45,28.562,27.637,48.2735,52.284,25.362,29.794,33.897,29.664,23.57,30.973
20220418,14.65,12.6,11.95,13.3,14.75,11.4,14.15,12.85,10.85,12.85,29.464,24.736,48.556,42.04,26.056,35.624,33.981,28.6455,21.924,25.679
